,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-js,TypeScript
40,confidence-openfeature-provider-kotlin,Kotlin
41,confidence-openfeature-provider-python,Python
42,confidence-openfeature-provider-swift,Swift
43,container-agent,Python
44,cookiecutter-golang,Go
45,coordinator,HTML
46,crtauth,Python
47,crtauth-java,Java
48,crtauth-java-agent-signer-apache,Java
49,crunch-lib,Java
50,cstar,Python
51,daemon-java,Java
52,dataenum,Java
53,DataflowJavaSDK,Java
54,dataproc-java-submitter,Java
55,dataprocxy,Python
56,dbeam,Java
57,debify,Shell
58,dh-virtualenv,Python
59,diffuser,Swift
60,dns-java,Java
61,docgenerator,Java
62,docker-alpine,
63,docker-bigtable,Go
64,docker-cassandra,Shell
65,docker-client,Java
66,docker-gc,Shell
67,docker-kafka,Shell
68,docker-maven-plugin,Java
69,docker-stress,Python
70,dockerfile-maven,Java
71,dockerfile-mode,Emacs Lisp
72,docker_interface,Python
73,drserv,Python
74,druid,
75,duck,Ruby
76,echoprint-codegen,C++
77,echoprint-server,Java
78,elasticsearch-index-window,Java
79,elitzur,Scala
80,eslint-config-oss,JavaScript
81,etcd,Go
82,featran,Scala
83,ffwd,Java
84,ffwd-client-java,Java
85,ffwd-http-client,Java
86,ffwd-ruby,Ruby
87,flink,Java
88,flink-docker,
89,flink-on-k8s-operator,Go
